Artist,Score,Rank,Number Of Albums
wstr,3779,256,3
kvelertak,3774,257,4
this will destroy you,3765,258,6
ulver,3764,259,12
the king blues,3737,260,6
linkin park,3730,261,7
in flames,3727,262,13
the haunted,3721,263,9
cannibal corpse,3712,264,15
body count,3704,265,7
idlewild,3684,266,8
devildriver,3683,267,8
pup,3677,268,4
sigur ros,3667,269,7
tesseract,3660,270,4
at the gates,3655,271,6
arch enemy,3655,271,11
new found glory,3635,273,10
ash,3629,274,8
marmozets,3622,275,2
feeder,3622,275,11
devil sold his soul,3620,277,4
sunn o))),3597,278,11
lonely the brave,3565,279,4
mariachi el bronx,3564,280,3
these arms are snakes,3563,281,3
lingua ignota,3561,282,4
the story so far,3552,283,4
triptykon,3545,284,2
oceansize,3544,285,4
amyl and the sniffers,3538,286,2
bolt thrower,3535,287,8
hell is for heroes,3529,288,3
royal blood,3528,289,3
the black dahlia murder,3517,290,9
trash boat,3508,291,3
myrkur,3482,292,3
this wild life,3478,293,4
svalbard,3467,294,3
chelsea wolfe,3465,295,6
genghis tron,3442,296,3
janes addiction,3442,296,4
basement,3430,298,4
saint vitus,3424,299,9
refused,3405,300,5
papa roach,3400,301,11
cobalt,3393,302,4
stick to your guns,3369,303,7
the bled,3369,303,4
rob zombie,3359,305,7
trap them,3318,306,5
the used,3315,307,8
mono,3308,308,11
between the buried and me,3302,309,9
oranssi pazuzu,3295,310,5
mark lanegan band,3288,311,13
yourcodenameismilo,3262,312,3
fightstar,3261,313,4
bad religion,3245,314,17
unto others,3239,315,2
higher power,3236,316,2
mgla,3233,317,4
anaal nathrakh,3213,318,12
full of hell,3211,319,5
devin townsend,3209,320,13
the offspring,3197,321,10
altar of plagues,3177,322,3
old man gloom,3160,323,9
porcupine tree,3146,324,11
issues,3137,325,3
30 seconds to mars,3126,326,5
airbourne,3125,327,5
mol,3123,328,2
johnny truant,3123,328,4
planes mistaken for stars,3117,330,4
motion city soundtrack,3106,331,6
backxwash,3102,332,4
poppy,3102,332,4
blood incantation,3096,334,3
social distortion,3081,335,7
imperial triumphant,3080,336,5
nightwish,3049,337,9
candlemass,3041,338,13
vision of disorder,3039,339,6
grave pleasures,3038,340,3
nothing,3030,341,4
soulfly,3027,342,12
mr bungle,3010,343,4
necrot,3006,344,2
seaway,3001,345,4
creedence clearwater revival,3000,346,3
misfits,3000,346,3
cream,3000,346,3
entombed,3000,346,3
cheap trick,3000,346,3
king crimson,3000,346,3
bathory,3000,346,3
bad brains,3000,346,3
billy joel,3000,346,3
john lennon,3000,346,3
simon and garfunkel,3000,346,3
paul mccartney,3000,346,3
queensryche,3000,346,3
peter gabriel,3000,346,3
suicidal tendencies,3000,346,3
the cult,3000,346,3
the doors,3000,346,3
zz top,3000,346,3
the black crowes,3000,346,3
yes,3000,346,3
sonic youth,3000,346,3
uriah heep,3000,346,3
robert plant,3000,346,3
tom waits,3000,346,3
pixies,3000,346,3
tom petty and the heartbreakers,3000,346,3
paul simon,3000,346,3
neil young and crazy horse,3000,346,4
nirvana,3000,346,3
the stooges,3000,346,3
the jimi hendrix experience,3000,346,3
thin lizzy,3000,346,3
uncle acid and the deadbeats,2977,378,5
the automatic,2960,379,3
arcade fire,2958,380,6
kids in glass houses,2953,381,4
eighteen visions,2952,382,6
propagandhi,2927,383,7
black breath,2922,384,3
far,2920,385,5
nova twins,2919,386,2
axis of perdition,2908,387,4
oceans of slumber,2896,388,5
conjurer,2894,389,2
uada,2869,390,4
malevolence,2866,391,3
turbonegro,2857,392,10
mallory knox,2853,393,4
open hand,2846,394,4
sum 41,2845,395,7
children of bodom,2832,396,10
limp bizkit,2806,397,6
swallow the sun,2802,398,8
kreator,2789,399,15
khemmis,2778,400,4
blood youth,2765,401,5
supersuckers,2749,402,11
the interrupters,2733,403,4
knocked loose,2733,403,3
envy,2711,405,7
solstafir,2711,405,7
city and colour,2694,407,6
holding absence,2687,408,2
pitchshifter,2680,409,7
tonight alive,2678,410,4
miss may i,2651,411,7
petrol girls,2642,412,3
five finger death punch,2639,413,9
shadows fall,2639,413,7
ithaca,2619,415,2
immolation,2617,416,11
palm reader,2581,417,4
title fight,2578,418,3
36 crazyfists,2566,419,7
dissection,2559,420,3
foals,2555,421,7
palaye royale,2549,422,4
modest mouse,2543,423,7
witchcraft,2503,424,6
steel panther,2498,425,5
with confidence,2497,426,3
jarcrew,2491,427,2
black stone cherry,2490,428,7
off with their heads,2481,429,4
black peaks,2474,430,2
cryptopsy,2473,431,7
audioslave,2471,432,3
wardruna,2468,433,5
greg puciato,2459,434,2
deicide,2456,435,12
the obsessed,2455,436,4
nachtmystium,2454,437,7
pianos become the teeth,2445,438,5
life of agony,2443,439,6
carpenter brut,2434,440,2
