Artist,Score,Rank,Number Of Albums
terrorizer,1000,923,1
silmarils,1000,923,1
sublime,1000,923,1
sex pistols,1000,923,1
the moody blues,1000,923,1
screaming trees,1000,923,1
the exploited,1000,923,1
scorn,1000,923,1
the almighty,1000,923,1
samson,1000,923,1
tank,1000,923,1
samhain,1000,923,1
sugar ray,1000,923,1
roxy music,1000,923,1
stiff little fingers,1000,923,1
roger waters,1000,923,1
stereophonics,1000,923,1
rocket from the crypt,1000,923,1
the michael schenker group,1000,923,1
steppenwolf,1000,923,1
the hellacopters,1000,923,1
traveling wilburys,1000,923,1
the eagles,1000,923,1
traffic,1000,923,1
the animals,1000,923,1
toto,1000,923,1
terrorvision,1000,923,1
todd rundgren,1000,923,1
temple of the dog,1000,923,1
thunder,1000,923,1
tad,1000,923,1
the zombies,1000,923,1
symphony x,1000,923,1
the world of skin,1000,923,1
sugar,1000,923,1
the vandals,1000,923,1
styx,1000,923,1
the sisters of mercy,1000,923,1
stevie ray vaughan,1000,923,1
the ruts,1000,923,1
steve miller band,1000,923,1
the presidents of the usa,1000,923,1
status quo,1000,923,1
the posies,1000,923,1
spinal tap,1000,923,1
yngwie malmsteen,1000,923,1
slint,1000,923,1
y and t,1000,923,1
sir lord baltimore,1000,923,1
witchfinder general,1000,923,1
siege,1000,923,1
wings,1000,923,1
senser,1000,923,1
waysted,1000,923,1
scream,1000,923,1
richard and linda thompson,1000,923,1
saxon,1000,923,1
warren zevon,1000,923,1
sammy hagar,1000,923,1
violent femmes,1000,923,1
run dmc,1000,923,1
various artists,1000,923,1
rose tattoo,1000,923,1
urban dance squad,1000,923,1
rod stewart,1000,923,1
ufo ,1000,923,0
riot,1000,923,1
ufo,1000,923,1
trust,1000,923,1
warrior soul,1000,923,1
*shels,997,1175,2
lowgold,991,1176,4
david holmes,990,1177,5
chubby and the gang,988,1178,2
kvekertak,987,1179,0
lindemann,986,1180,2
limbs,985,1181,1
the white noise,984,1182,1
we are the in crowd,981,1183,2
frightened rabbit,980,1184,5
black country communion,977,1185,4
mistress,973,1186,4
isis/aereogramme,973,1186,1
the angels of light,972,1188,5
this girl,971,1189,2
puddle of mudd,968,1190,6
the one hundred,961,1191,1
listener,957,1192,6
himsa,951,1193,4
demon hunter,948,1194,12
chimaira,947,1195,7
labrat,946,1196,1
grey daze,941,1197,4
ceremony,940,1198,6
shields,939,1199,1
maylene and the sons of disaster,938,1200,4
the dangerous summer,930,1201,6
sights and sounds,930,1201,2
idiot pilot,926,1203,3
part chimp,923,1204,6
snot,921,1205,2
jinjer,919,1206,4
american football,917,1207,3
nothing but thieves,915,1208,3
crazy arm,909,1209,4
gallhammer,905,1210,3
hope conspiracy,904,1211,3
winnebago deal,902,1212,3
burnt by the sun,901,1213,3
vex red,900,1214,1
crackout,899,1215,2
(hed) pe,898,1216,14
king woman,896,1217,2
inter arma,894,1218,4
hostage calm,889,1219,4
crime in stereo,885,1220,4
academy is,881,1221,3
immortal lee county killers,880,1222,4
jucifer,878,1223,8
five pointe o,877,1224,1
staind,876,1225,7
asian dub foundation,875,1226,9
mortuous,874,1227,2
seeyouspacecowboy,873,1228,2
orbit culture,872,1229,3
false,871,1230,0
tellison,871,1230,3
single mothers,870,1232,3
prophets of rage,869,1233,1
columbus,868,1234,2
august burns red,862,1235,8
the blackout,861,1236,4
the death of her money,860,1237,3
fickle public,858,1238,1
kaiser chiefs,857,1239,7
jerry cantrell,854,1240,3
techno animal,853,1241,4
gggolddd,851,1242,5
goden,849,1243,1
wars,844,1244,3
the american scene,842,1245,2
crippled black phoenix,837,1246,11
lair of the minotaur,833,1247,4
mondo generator,832,1248,7
halford,832,1248,3
nonpoint,830,1250,11
asagraum,825,1251,2
the plot in you,824,1252,5
leprous,823,1253,7
the front bottoms,818,1254,7
minus the bear,813,1255,6
black eye riot,810,1256,1
kittie,807,1257,6
portal,806,1258,7
the swellers,805,1259,5
ice nine kills,801,1260,6
ancient wisdom,794,1261,4
drudkh,792,1262,12
i,789,1263,1
editors,788,1264,7
akas,787,1265,3
daybreak,785,1266,2
hayley williams,780,1267,2
exhorder,779,1268,3
our hollow our home,778,1269,3
broadside,777,1270,3
better off,773,1271,3
axewound,772,1272,1
necros christos,771,1273,3
dananananaykroyd,769,1274,2
november coming fire,766,1275,1
murder of rosa luxemburg,763,1276,1
lamb,761,1277,7
ho99o9,759,1278,2
pupil slicer,758,1279,1
yonaka,756,1280,1
awaken i am,754,1281,2
sleepwave,751,1282,1
satan,746,1283,7
wintersleep,746,1283,7
giant drag,743,1285,2
dalek,742,1286,9
christiansen,740,1287,2
wolf,739,1288,9
cold,737,1289,6
gaahls wyrd,733,1290,1
counterparts,731,1291,7
heart of a coward,727,1292,4
three trapped tigers,725,1293,2
armor for sleep,719,1294,4
vaux,718,1295,2
denali,717,1296,2
mudvayne,714,1297,5
devil master,710,1298,2
sainte,708,1299,1
wovenhand,705,1300,9
secret machines,697,1301,4
capricorns,696,1302,2
devin townsend band,694,1303,2
stampin ground,691,1304,4
skepticism,689,1305,6
gost,687,1306,5
chris cornell,683,1307,4
leviathan,681,1308,6
the end,672,1309,3
vendetta red,671,1310,5
decapitated,670,1311,8
mclusky,670,1311,3
fenix tx,669,1313,2
amon tobin,668,1314,10
cold years,665,1315,2
ghost town,659,1316,3
pure love,658,1317,1
monuments,657,1318,4
christian mistress,655,1319,3
no age,653,1320,6
twilight singers,648,1321,5
millionaire,647,1322,4
appliance,646,1323,4
not from there,645,1324,2
wake,644,1325,6
alpha wolf,642,1326,2
milestones,640,1327,1
no trigger,634,1328,3
pulled apart by horses,632,1329,5
don caballero,628,1330,6
textures,626,1331,5
lightning bolt,625,1332,7
your demise,622,1333,4
dawn rayd,618,1334,2
tiny moving parts,617,1335,8
flood of red,608,1336,2
asva,607,1337,3
inme,604,1338,7
orphaned land,603,1339,6
cortizone,600,1340,1
the armed,597,1341,4
decade,593,1342,2
casualties of cool,590,1343,1
all pigs must die,587,1344,3
strike anywhere,585,1345,4
madder mortem,585,1345,7
blacklisted,584,1347,4
jeniferever,582,1348,3
scalplock,578,1349,3
movielife,577,1350,4
tallah,575,1351,2
movements,570,1352,2
morbus chron,567,1353,2
aiden,558,1354,7
knut,555,1355,4
mecury rev,554,1356,9
underworld,553,1357,10
divide and dissolve,551,1358,3
power trip,547,1359,2
the hell,545,1360,5
sonic boom six,542,1361,5
black label society,540,1362,11
kory clarke,533,1363,3
vader,532,1364,12
richard ashcroft,530,1365,5
the linda lindas,529,1366,1
the silver,528,1367,1
twin temple,526,1368,1
brody dalle,521,1369,1
philip h anselmo and the illegals,520,1370,2
louis xiv,512,1371,3
arkhon infaustus,511,1372,4
the locust,510,1373,2
antaeus,509,1374,4
king adora,508,1375,2
dvne,505,1376,2
bearings,502,1377,2
crosses,498,1378,1
j mascis,495,1379,3
city of fire,493,1380,2
hail of bullets,492,1381,3
big business,491,1382,6
jetplane landing,487,1383,4
warhorse,485,1384,1
sumerlands,483,1385,2
boss keloid,482,1386,4
perry farrell,480,1387,2
queen kwong,476,1388,3
reverend bizarre,472,1389,4
rosetta,468,1390,6
tv on the radio,467,1391,5
red chord,466,1392,4
mortiis,462,1393,13
chat pile,460,1394,1
powerwolf,459,1395,8
make them suffer,458,1396,4
yungblud,456,1397,3
crossfaith,453,1398,5
voices,452,1399,4
mixtapes,450,1400,3
evil bebos,446,1401,2
krieg,442,1402,7
boysetsfire,441,1403,6
mad capsule markets,439,1404,10
nevermore,438,1405,7
pale waves,437,1406,3
kk's priest,436,1407,1
corey taylor,435,1408,1
press club,434,1409,3
crown the empire,431,1410,4
caspian,424,1411,5
deerhunter,423,1412,8
chrome hoof,422,1413,4
nattefrost,419,1414,2
melt banana,418,1415,7
live,416,1416,8
electric callboy,414,1417,6
times of grace,413,1418,2
of feather and bone,412,1419,3
chase atlantic,409,1420,3
simple plan,408,1421,6
bell witch,402,1422,3
black light burns,400,1423,3
pipettes,398,1424,2
autolux,397,1425,3
metalucifer,394,1426,3
zen guerrilla,393,1427,4
dying wish,390,1428,1
grandson,389,1429,1
shadow of intent,388,1430,4
pagan,387,1431,1
corrections house,382,1432,2
save your breath,380,1433,2
sky larkin,378,1434,3
septicflesh,377,1435,11
gratitude,374,1436,1
the gathering,369,1437,12
dordeduh,367,1438,2
atramentus,366,1439,1
mizmor,365,1440,4
out came the wolves,362,1441,1
new years day,361,1442,4
steve harris,358,1443,2
die princess die,352,1444,2
darkest hour,351,1445,9
new order,347,1446,9
heriot,345,1447,1
black foxxes,343,1448,3
messenger,337,1449,2
gaza,335,1450,3
broken social scene,329,1451,5
craft,325,1452,5
unified theory,324,1453,2
the chasm,323,1454,9
sabaton,322,1455,10
vexed,321,1456,1
bayside,314,1457,8
twilight of the gods,313,1458,1
woods of yprs,312,1459,4
cerebral ballzy,311,1460,2
people in planes,309,1461,2
pilgrim fathers,308,1462,1
khold,302,1463,7
rabies caste,301,1464,3
bogus blimp,300,1465,2
terror,299,1466,8
cerebral rot,298,1467,2
vile creature,297,1468,3
the lord weird slough feg,296,1469,10
periphery,293,1470,6
orchid,290,1471,2
pendulum,287,1472,3
the pretty reckless,285,1473,4
the body/big brave,275,1474,1
cirith ungol,274,1475,5
scarlxrd,272,1476,14
skuggsja,270,1477,2
purple,268,1478,2
chuck ragan,265,1479,4
fake problems,263,1480,3
earthless,261,1481,5
archie bronson outfit,260,1482,4
bear vs shark,259,1483,2
discordance axis,254,1484,3
fit for an autopsy,253,1485,6
ophidian i,252,1486,2
intronaut,251,1487,6
overkill,250,1488,19
area 11,247,1489,3
vhol,246,1490,2
xerath,245,1491,3
avatarium,244,1492,5
pilgrim,243,1493,2
hyro da hero,242,1494,2
astrohenge,241,1495,2
unkle,238,1496,7
sol seppy,237,1497,3
elend,235,1498,7
watchmaker,233,1499,3
lars frederiksen and the bastards,232,1500,2
warning,231,1501,2
kid kapichi,230,1502,2
puppy,227,1503,2
the struts,226,1504,3
sleater kinney,223,1505,10
upon a burning body,222,1506,6
the parlor mob,217,1507,4
year long disaster,216,1508,2
drips,214,1509,1
usurper,213,1510,7
aborym,211,1511,8
aghora,208,1512,3
jo quail,207,1513,5
ripped to shreds,205,1514,3
the hu,204,1515,2
joyce manor,203,1516,6
swallowed,199,1517,1
volbeat,195,1518,9
gregor samsa,191,1519,2
palehorse,188,1520,4
oxbow,187,1521,7
church of misery,186,1522,6
stuck mojo,185,1523,7
darkher,184,1524,2
hyena kill,183,1525,2
ingested,182,1526,6
gender roles,181,1527,1
jex thoth,175,1528,2
broadway calls,171,1529,4
the ascent of everest,170,1530,3
3 inches of blood,169,1531,5
all that remains,168,1532,9
taproot,167,1533,8
wolf eyes,166,1534,21
pennywise,163,1535,12
the damage manual,162,1536,2
dead cross,161,1537,2
worm,160,1538,4
all them witches,159,1539,6
car bomb,158,1540,4
ohhms,156,1541,5
wilson,152,1542,3
dragged into sunlight,151,1543,3
the answer,150,1544,6
chiodos,149,1545,4
wetnurse,147,1546,2
bossk,146,1547,3
hondo maclean,144,1548,2
abscess,141,1549,6
tricky,140,1550,14
fleurety,139,1551,3
negative plane,138,1552,3
dropdead,136,1553,3
insomnium,135,1554,8
haunt,134,1555,6
satans wrath,128,1556,3
japanese voyeurs,127,1557,1
sleigh bells,126,1558,5
tubelord,125,1559,2
valient thorr,124,1560,7
bullet union,121,1561,1
tsjuder,120,1562,5
laibach,119,1563,11
xasthur,118,1564,10
the halo effect,115,1565,1
lik,113,1566,3
obsequiae,112,1567,3
dwarves,107,1568,11
argus,106,1569,4
the computers,104,1570,3
twilight,103,1571,4
you say party we say die,99,1572,4
mare,97,1573,1
revenge,96,1574,6
rotten sound,95,1575,7
candiria,94,1576,8
tragedy,93,1577,4
phobophilic,92,1578,1
sugar horse,91,1579,1
hellripper,90,1580,2
story untold,88,1581,1
danny worsnop,87,1582,2
shape of despair,85,1583,6
agalloch,84,1584,5
wodensthrone,82,1585,2
the flatliners,80,1586,6
coalesce,79,1587,4
helms alee,78,1588,6
jacobs stories,76,1589,1
panthers,75,1590,3
arsis,74,1591,6
twisted tower dire,73,1592,6
shellac,70,1593,6
mindforce,69,1594,2
godthrymm,67,1595,1
the murder capital,66,1596,1
ahab,62,1597,4
cloud rat,60,1598,5
eagle twin,59,1599,3
grown ups,57,1600,1
tombs,56,1601,5
boris,54,1602,28
ignite,53,1603,6
place of skulls,50,1604,5
toilet boys,48,1605,2
dying fetus,47,1606,8
vukovi,46,1607,3
astronoid,43,1608,3
the body,42,1609,8
thou,38,1610,5
ufomammut,36,1611,10
narrows,33,1612,2
fighting with wire,32,1613,2
still remains,31,1614,3
psyopus,28,1615,3
while heaven wept,27,1616,5
stabbing westward,25,1617,5
dream unending,23,1618,2
destroyer 666,17,1619,6
acheronts,16,1620,9
hellyeah,15,1621,6
enabler,13,1622,4
zombi,10,1623,7
working for a nuclear free city,9,1624,4
sunn o))) and boris,7,1625,1
dive dive,6,1626,4
linea 77,2,1627,8
